paper_key,claim_id,expected_trend,observed_metric,threshold,observed_value,verdict,confidence,reason
minello_2019,quantum_walk_signatures_support_graph_classification,Quantum-walk dynamic signatures should classify graph families above baseline.,group_split_accuracy,quantum>baseline and combined>=topology,quantum=0.348; topology=0.539; combined=0.556; baseline=0.133,matched,1.0,Dynamic and combined signatures beat the group-split baseline.
novo_2016,disorder_can_assist_suboptimal_transport,Moderate disorder can improve transport in suboptimal regimes.,max_arrival_delta_disorder_vs_clean_same_context,0.03,0.11452175506825785,matched,1.0,At least one matched context improves with nonzero disorder.
coates_2023,multiple_enaqt_optima_from_gamma_resolved_curves,Some disordered networks can have more than one optimal noise regime rather than a single Goldilocks peak.,gamma_resolved_peak_count,at least two separated local maxima,curves=48; multi_peak_curves=0; max_peaks=0,inconclusive,0.35,Gamma-resolved curves did not show two resolved local maxima in this profile.
anderson_1958,static_disorder_localizes_spreading,Increasing static disorder suppresses spatial delocalization in tight-binding-like networks.,families_with_PR_drop_and_IPR_rise,at least two families,2,matched,0.85,Participation falls and IPR rises with disorder in multiple families.
walschaers_2016,disordered_noisy_networks_need_ensemble_statistics,"Disordered noisy networks should be evaluated by ensemble mean, variance, and topology sensitivity, not a single best curve.",resolved_gain_count_and_arrival_std,resolved_gain_count>=1 and arrival_std>0.02,resolved_gain_count=110; max_arrival_std=0.201,matched,0.8,The benchmark exports ensemble spread and at least one statistically resolved noisy-transport gain.
manzano_2013,stationary_source_drain_current_requires_ness_mode,"Stationary transport should be measured with a source-drain steady state, not with the absorbing finite-time sink model.",valid_stationary_current_records,valid_record_count>0 and current>0,valid=11/12; mean_current=0.0533,matched,0.85,A separate trace-preserving source-drain NESS benchmark returns finite validated current.
coutinho_2022,noisy_quantum_networks_vs_classical_topological_controls,Noisy quantum-network dynamics should be compared against classical and topological controls before claiming a quantum signature.,quantum_minus_classical_and_noisy_gain_summary,quantum_minus_classical>0.05 or resolved noisy gain,max_q_minus_classical=0.000; resolved_gain_count=110,matched,0.8,"The suite exports noisy quantum, classical-control, and topology-sensitive comparisons."
blach_2025,environment_assisted_transport_as_material_motivation,Experiments can show best transport when disorder and dephasing are balanced.,effective_model_dephasing_disorder_window,persistent positive dephasing gain with high-noise suppression,persistent=True; suppression=True,matched,0.8,"The effective model reproduces the qualitative balanced-regime motif, not the perovskite microscopic experiment."
blach_2025,perovskite_nanocrystal_microscopic_reproduction,"A perovskite experiment requires material-specific structure, temperature dependence, and exciton parameters.",model_scope,material-specific parameters required,effective network model only,not_applicable,1.0,This lab uses controlled effective networks and does not yet include perovskite nanocrystal parameters.
rojo_francas_2024,fractal_geometry_changes_transport_exponents,Fractal lattices can show anomalous spreading governed by geometry and spectral structure.,fractal_vs_lattice_msd_front_width,at least two changed fractal-vs-lattice comparisons,"changed=8/8; families=['sierpinski_carpet_like', 'sierpinski_gasket']",matched,0.85,Fractal benchmarks differ from the square-lattice control in multiple spreading comparisons.
gamble_2010,two_particle_quantum_walk_graph_isomorphism,Interacting two-particle quantum walks can distinguish graph structures beyond some single-particle invariants.,particle_number,two-particle interacting walk required,single-excitation effective model,not_applicable,1.0,"The current lab intentionally stays in the single-excitation sector, so this paper is a limitation guardrail rather than a direct benchmark."
engel_2007,photosynthetic_wavelike_coherence_experimental_motivation,Spectroscopic experiments can reveal coherent excitation dynamics in photosynthetic complexes.,experimental_spectroscopy_scope,microscopic photosynthetic complex and spectroscopy required,effective graph transport model,not_applicable,1.0,This paper motivates coherent excitation transport but is not reproduced by a generic graph model.
maier_2019,finite_network_coherent_assisted_damped_progression,"Finite controlled networks can show coherent, assisted, and high-noise-damped regimes.",finite_size_grid_plus_dephasing_window_plus_suppression,finite N and dephasing window with suppression,"N=[8, 10, 12]; window=True; suppression=True",matched,0.8,The effective finite-network model reproduces the qualitative regime progression.
maier_2019,exact_10_qubit_hardware_reproduction,Exact trapped-ion/qubit hardware reproduction would require microscopic hardware parameters.,model_scope,hardware-specific parameters required,effective network model only,not_applicable,1.0,"This lab tests a qualitative finite-network analogue, not the experimental hardware implementation."
